ticker,validated_date
1SXP.DE,2026-01-18T19:16:15.575537
8TRA.DE,2026-01-18T19:16:15.575537
A,2026-01-18T19:16:15.575537
A2A.F,2026-01-18T19:16:15.575537
A2A.MI,2026-01-18T19:16:15.575537
A3M.MC,2026-01-18T19:16:15.575537
AAF.L,2026-01-18T19:16:15.575537
AAK.ST,2026-01-18T19:16:15.575537
AAL.L,2026-01-18T19:16:15.575537
AALB.AS,2026-01-18T19:16:15.575537
AAPL,2026-01-18T19:16:15.575537
ABB.F,2026-01-18T19:16:15.575537
ABB.MC,2026-01-18T19:16:15.575537
ABBV,2026-01-18T19:16:15.575537
ABDN.L,2026-01-18T19:16:15.575537
ABF.L,2026-01-18T19:16:15.575537
ABI.BR,2026-01-18T19:16:15.575537
ABNB,2026-01-18T19:16:15.575537
ABT,2026-01-18T19:16:15.575537
ABVX.PA,2026-01-18T19:16:15.575537
AC.PA,2026-01-18T19:16:15.575537
ACAD.ST,2026-01-18T19:16:15.575537
ACE.MI,2026-01-18T19:16:15.575537
ACGL,2026-01-18T19:16:15.575537
ACKB.BR,2026-01-18T19:16:15.575537
ACLN.SW,2026-01-18T19:16:15.575537
ACN,2026-01-18T19:16:15.575537
ACS.MC,2026-01-18T19:16:15.575537
ACX.MC,2026-01-18T19:16:15.575537
AD.AS,2026-01-18T19:16:15.575537
ADBE,2026-01-18T19:16:15.575537
ADDT-B.ST,2026-01-18T19:16:15.575537
ADEN.SW,2026-01-18T19:16:15.575537
ADI,2026-01-18T19:16:15.575537
ADM,2026-01-18T19:16:15.575537
ADP,2026-01-18T19:16:15.575537
ADP.PA,2026-01-18T19:16:15.575537
ADS.DE,2026-01-18T19:16:15.575537
ADSK,2026-01-18T19:16:15.575537
ADYEN.AS,2026-01-18T19:16:15.575537
AEDAS.MC,2026-01-18T19:16:15.575537
AEE,2026-01-18T19:16:15.575537
AENA.MC,2026-01-18T19:16:15.575537
AEP,2026-01-18T19:16:15.575537
AERO.SW,2026-01-18T19:16:15.575537
AES,2026-01-18T19:16:15.575537
AFL,2026-01-18T19:16:15.575537
AFRY.ST,2026-01-18T19:16:15.575537
AGG,2026-01-18T19:16:15.575537
AGS.BR,2026-01-18T19:16:15.575537
AHT.L,2026-01-18T19:16:15.575537
AIG,2026-01-18T19:16:15.575537
AIR.PA,2026-01-18T19:16:15.575537
AIXA.DE,2026-01-18T19:16:15.575537
AIZ,2026-01-18T19:16:15.575537
AJG,2026-01-18T19:16:15.575537
AKAM,2026-01-18T19:16:15.575537
AKE.PA,2026-01-18T19:16:15.575537
AKER.OL,2026-01-18T19:16:15.575537
AKRBP.OL,2026-01-18T19:16:15.575537
ALB,2026-01-18T19:16:15.575537
ALFA.ST,2026-01-18T19:16:15.575537
ALFEN.AS,2026-01-18T19:16:15.575537
ALGN,2026-01-18T19:16:15.575537
ALIF-B.ST,2026-01-18T19:16:15.575537
ALL,2026-01-18T19:16:15.575537
ALLE,2026-01-18T19:16:15.575537
ALLEI.ST,2026-01-18T19:16:15.575537
ALLFG.AS,2026-01-18T19:16:15.575537
ALLN.SW,2026-01-18T19:16:15.575537
ALM.MC,2026-01-18T19:16:15.575537
ALMB.CO,2026-01-18T19:16:15.575537
ALSN.SW,2026-01-18T19:16:15.575537
ALV.DE,2026-01-18T19:16:15.575537
AM.PA,2026-01-18T19:16:15.575537
AMAT,2026-01-18T19:16:15.575537
AMBEA.ST,2026-01-18T19:16:15.575537
AMCR,2026-01-18T19:16:15.575537
AMD,2026-01-18T19:16:15.575537
AME,2026-01-18T19:16:15.575537
AMG.AS,2026-01-18T19:16:15.575537
AMGN,2026-01-18T19:16:15.575537
AML.L,2026-01-18T19:16:15.575537
AMP,2026-01-18T19:16:15.575537
AMS.SW,2026-01-18T19:16:15.575537
AMT,2026-01-18T19:16:15.575537
AMUN.PA,2026-01-18T19:16:15.575537
AMZN,2026-01-18T19:16:15.575537
ANA.MC,2026-01-18T19:16:15.575537
ANDR.VI,2026-01-18T19:16:15.575537
ANE.MC,2026-01-18T19:16:15.575537
ANET,2026-01-18T19:16:15.575537
ANOD-B.ST,2026-01-18T19:16:15.575537
ANTO.L,2026-01-18T19:16:15.575537
AON,2026-01-18T19:16:15.575537
AOS,2026-01-18T19:16:15.575537
APA,2026-01-18T19:16:15.575537
APAM.AS,2026-01-18T19:16:15.575537
APD,2026-01-18T19:16:15.575537
APH,2026-01-18T19:16:15.575537
APO,2026-01-18T19:16:15.575537
APOTEA.ST,2026-01-18T19:16:15.575537
APP,2026-01-18T19:16:15.575537
APTV,2026-01-18T19:16:15.575537
AQ.ST,2026-01-18T19:16:15.575537
ARCAD.AS,2026-01-18T19:16:15.575537
ARE,2026-01-18T19:16:15.575537
ARGX.BR,2026-01-18T19:16:15.575537
ARIS.MI,2026-01-18T19:16:15.575537
ARJO-B.ST,2026-01-18T19:16:15.575537
ARM,2026-01-18T19:16:15.575537
ARYN.SW,2026-01-18T19:16:15.575537
ASHM.L,2026-01-18T19:16:15.575537
ASML.AS,2026-01-18T19:16:15.575537
ASRNL.AS,2026-01-18T19:16:15.575537
ASSA-B.ST,2026-01-18T19:16:15.575537
AT1.DE,2026-01-18T19:16:15.575537
ATCO-A.ST,2026-01-18T19:16:15.575537
ATG.L,2026-01-18T19:16:15.575537
ATO,2026-01-18T19:16:15.575537
ATT.ST,2026-01-18T19:16:15.575537
AUTO.OL,2026-01-18T19:16:15.575537
AV.L,2026-01-18T19:16:15.575537
AVB,2026-01-18T19:16:15.575537
AVGO,2026-01-18T19:16:15.575537
AVOL.SW,2026-01-18T19:16:15.575537
AVON.L,2026-01-18T19:16:15.575537
AVY,2026-01-18T19:16:15.575537
AWE.L,2026-01-18T19:16:15.575537
AWK,2026-01-18T19:16:15.575537
AXFO.ST,2026-01-18T19:16:15.575537
AXON,2026-01-18T19:16:15.575537
AXP,2026-01-18T19:16:15.575537
AYV.PA,2026-01-18T19:16:15.575537
AZE.BR,2026-01-18T19:16:15.575537
AZN,2026-01-18T19:16:15.575537
AZO,2026-01-18T19:16:15.575537
BA,2026-01-18T19:16:15.575537
BAB.L,2026-01-18T19:16:15.575537
BABA,2026-01-18T19:16:15.575537
BAC,2026-01-18T19:16:15.575537
BAER.SW,2026-01-18T19:16:15.575537
BAES.L,2026-01-18T19:16:15.575537
BAG.L,2026-01-18T19:16:15.575537
BAKKA.OL,2026-01-18T19:16:15.575537
BALD-B.ST,2026-01-18T19:16:15.575537
BALL,2026-01-18T19:16:15.575537
BALN.SW,2026-01-18T19:16:15.575537
BAMI.MI,2026-01-18T19:16:15.575537
BANB.SW,2026-01-18T19:16:15.575537
BAR.BR,2026-01-18T19:16:15.575537
BARC.L,2026-01-18T19:16:15.575537
BARN.SW,2026-01-18T19:16:15.575537
BAS.DE,2026-01-18T19:16:15.575537
BATS.L,2026-01-18T19:16:15.575537
BAVA.CO,2026-01-18T19:16:15.575537
BAX,2026-01-18T19:16:15.575537
BAYN.DE,2026-01-18T19:16:15.575537
BBVA.MC,2026-01-18T19:16:15.575537
BBY,2026-01-18T19:16:15.575537
BCG.L,2026-01-18T19:16:15.575537
BCHN.SW,2026-01-18T19:16:15.575537
BCP.LS,2026-01-18T19:16:15.575537
BCVN.SW,2026-01-18T19:16:15.575537
BDX,2026-01-18T19:16:15.575537
BEAN.SW,2026-01-18T19:16:15.575537
BEIA-B.ST,2026-01-18T19:16:15.575537
BEIJ-B.ST,2026-01-18T19:16:15.575537
BEKB.BR,2026-01-18T19:16:15.575537
BEN,2026-01-18T19:16:15.575537
BESI.AS,2026-01-18T19:16:15.575537
BETS-B.ST,2026-01-18T19:16:15.575537
BFF.MI,2026-01-18T19:16:15.575537
BFIT.AS,2026-01-18T19:16:15.575537
BFSA.DE,2026-01-18T19:16:15.575537
BFT.WA,2026-01-18T19:16:15.575537
BG,2026-01-18T19:16:15.575537
BGEO.L,2026-01-18T19:16:15.575537
BGN.MI,2026-01-18T19:16:15.575537
BHW.WA,2026-01-18T19:16:15.575537
BIIB,2026-01-18T19:16:15.575537
BIL,2026-01-18T19:16:15.575537
BILI-A.ST,2026-01-18T19:16:15.575537
BILL.ST,2026-01-18T19:16:15.575537
BIOA-B.ST,2026-01-18T19:16:15.575537
BIOG-B.ST,2026-01-18T19:16:15.575537
BIV,2026-01-18T19:16:15.575537
BK,2026-01-18T19:16:15.575537
BKNG,2026-01-18T19:16:15.575537
BKR,2026-01-18T19:16:15.575537
BKT.MC,2026-01-18T19:16:15.575537
BLDR,2026-01-18T19:16:15.575537
BLK,2026-01-18T19:16:15.575537
BLND.L,2026-01-18T19:16:15.575537
BMED.MI,2026-01-18T19:16:15.575537
BMW.DE,2026-01-18T19:16:15.575537
BMY,2026-01-18T19:16:15.575537
BND,2026-01-18T19:16:15.575537
BNDX,2026-01-18T19:16:15.575537
BNZL.L,2026-01-18T19:16:15.575537
BOL.ST,2026-01-18T19:16:15.575537
BONEX.ST,2026-01-18T19:16:15.575537
BOOZT.ST,2026-01-18T19:16:15.575537
BOWL.L,2026-01-18T19:16:15.575537
BOY.L,2026-01-18T19:16:15.575537
BP.L,2026-01-18T19:16:15.575537
BR,2026-01-18T19:16:15.575537
BRAV.ST,2026-01-18T19:16:15.575537
BRBY.L,2026-01-18T19:16:15.575537
BREE.L,2026-01-18T19:16:15.575537
BRKN.SW,2026-01-18T19:16:15.575537
BRO,2026-01-18T19:16:15.575537
BSLN.SW,2026-01-18T19:16:15.575537
BSV,2026-01-18T19:16:15.575537
BSX,2026-01-18T19:16:15.575537
BTRW.L,2026-01-18T19:16:15.575537
BUCN.SW,2026-01-18T19:16:15.575537
BUFAB.ST,2026-01-18T19:16:15.575537
BURE.ST,2026-01-18T19:16:15.575537
BVI.PA,2026-01-18T19:16:15.575537
BWLPG.OL,2026-01-18T19:16:15.575537
BWY.L,2026-01-18T19:16:15.575537
BX,2026-01-18T19:16:15.575537
BXP,2026-01-18T19:16:15.575537
BYG.L,2026-01-18T19:16:15.575537
BYIT.L,2026-01-18T19:16:15.575537
BZU.MI,2026-01-18T19:16:15.575537
C,2026-01-18T19:16:15.575537
CA.PA,2026-01-18T19:16:15.575537
