ticker,validated_date
1SXP.DE,2025-11-03T13:41:54.449387
8TRA.DE,2025-11-03T13:41:54.449421
A,2025-11-03T13:41:54.449426
A2A.F,2025-11-03T13:41:54.449430
A2A.MI,2025-11-03T13:41:54.449434
A3M.MC,2025-11-03T13:41:54.449438
AAF.L,2025-11-03T13:41:54.449445
AAK,2025-11-03T13:41:54.449451
AAK.ST,2025-11-03T13:41:54.449460
AAL.L,2025-11-03T13:41:54.449466
AALB.AS,2025-11-03T13:41:54.449471
AAPL,2025-11-03T13:41:54.449477
ABB.F,2025-11-03T13:41:54.449484
ABB.MC,2025-11-03T13:41:54.449490
ABBV,2025-11-03T13:41:54.449495
ABDN.L,2025-11-03T13:41:54.449499
ABF.L,2025-11-03T13:41:54.449502
ABI.BR,2025-11-03T13:41:54.449506
ABNB,2025-11-03T13:41:54.449510
ABT,2025-11-03T13:41:54.449513
ABVX.PA,2025-11-03T13:41:54.449517
AC.PA,2025-11-03T13:41:54.449520
ACAD.ST,2025-11-03T13:41:54.449523
ACE.MI,2025-11-03T13:41:54.449527
ACGL,2025-11-03T13:41:54.449530
ACKB.BR,2025-11-03T13:41:54.449534
ACLN.SW,2025-11-03T13:41:54.449537
ACN,2025-11-03T13:41:54.449541
ACS,2025-11-03T13:41:54.449544
ACS.MC,2025-11-03T13:41:54.449547
ACX.MC,2025-11-03T13:41:54.449551
AD.AS,2025-11-03T13:41:54.449554
ADBE,2025-11-03T13:41:54.449558
ADDT-B.ST,2025-11-03T13:41:54.449561
ADEN.SW,2025-11-03T13:41:54.449565
ADI,2025-11-03T13:41:54.449579
ADM,2025-11-03T13:41:54.449582
ADP,2025-11-03T13:41:54.449585
ADP.PA,2025-11-03T13:41:54.449588
ADS.DE,2025-11-03T13:41:54.449591
ADSK,2025-11-03T13:41:54.449595
ADT1.L,2025-11-03T13:41:54.449598
ADYEN.AS,2025-11-03T13:41:54.449602
AEDAS.MC,2025-11-03T13:41:54.449605
AEE,2025-11-03T13:41:54.449609
AENA.MC,2025-11-03T13:41:54.449612
AEP,2025-11-03T13:41:54.449615
AERO.SW,2025-11-03T13:41:54.449619
AES,2025-11-03T13:41:54.449622
AFL,2025-11-03T13:41:54.449625
AFRY.ST,2025-11-03T13:41:54.449628
AGG,2025-11-03T13:41:54.449631
AGRP.L,2025-11-03T13:41:54.449635
AGS.BR,2025-11-03T13:41:54.449638
AHT.L,2025-11-03T13:41:54.449641
AIG,2025-11-03T13:41:54.449644
AIR.PA,2025-11-03T13:41:54.449647
AIXA.DE,2025-11-03T13:41:54.449651
AIZ,2025-11-03T13:41:54.449654
AJG,2025-11-03T13:41:54.449657
AKAM,2025-11-03T13:41:54.449660
AKE.PA,2025-11-03T13:41:54.449663
AKER.OL,2025-11-03T13:41:54.449667
AKRBP.OL,2025-11-03T13:41:54.449670
ALB,2025-11-03T13:41:54.449675
ALFA.ST,2025-11-03T13:41:54.449678
ALFEN.AS,2025-11-03T13:41:54.449682
ALGN,2025-11-03T13:41:54.449685
ALIF-B.ST,2025-11-03T13:41:54.449688
ALL,2025-11-03T13:41:54.449691
ALLE,2025-11-03T13:41:54.449694
ALLEI.ST,2025-11-03T13:41:54.449697
ALLFG.AS,2025-11-03T13:41:54.449700
ALLN.SW,2025-11-03T13:41:54.449704
ALM.MC,2025-11-03T13:41:54.449707
ALMB.CO,2025-11-03T13:41:54.449710
ALPH.L,2025-11-03T13:41:54.449717
ALSN.SW,2025-11-03T13:41:54.449721
ALV.DE,2025-11-03T13:41:54.449724
AM.PA,2025-11-03T13:41:54.449727
AMAT,2025-11-03T13:41:54.449731
AMBEA.ST,2025-11-03T13:41:54.449734
AMCR,2025-11-03T13:41:54.449737
AMD,2025-11-03T13:41:54.449741
AME,2025-11-03T13:41:54.449744
AMG.AS,2025-11-03T13:41:54.449747
AMGN,2025-11-03T13:41:54.449750
AML.L,2025-11-03T13:41:54.449753
AMP,2025-11-03T13:41:54.449756
AMS.SW,2025-11-03T13:41:54.449759
AMT,2025-11-03T13:41:54.449762
AMUN.PA,2025-11-03T13:41:54.449766
